rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.04.,yong*****,"이벤트 하루전에 우연히 검색하다 구입을 했는데 상당히 만족스럽네요.  물론 라이브 이벤트 끝나고 작은샘플 주는거 보고 약간 기분이 상 했지만, 그래도 운동하고 샤워할 때 얼마나 세장력이 있는지 궁금했는데 지금까지는 매우 만족하고 있습니다.  레몬향 느낌이 있어서 여름에 시원한 느낌도 있네요. 다음엔 쿨한 느낌이 강한 바디워시도 부탁합니다.",1,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_04_1020/0v8OLsCFxc_03.jpg?type=ffn300_300,필수선택: (가민에디션)바디워시 시트러스향 600ml피부타입복합성탄력거품풍부해요촉촉함보통이에요세정력아주 만족해요,46cm X GARMIN 가민에디션] 체취케어 데오드란트 바디워시  600ml 1개+샴바사셰2개
2,5,25.07.02.,ssa3***,"몸 쪽 피부는 건성이지만 예민하지 않은편이라 보통 가족이 사오는 바디워시를 아무거나 사용했어요.
요즘 가족이 체취 때매 걱정을 해서 발을 씻자 제품과 비슷한 효과를 기대하고 구매했습니다.
 
땀이 많고 건성이라 여름에 자주 샤워를 해서 답답하더라도 바디로션을 발라줘야 할 때가 있는데 
이 제품은 며칠 하루에 두 번씩 씻고 스크럽이 들어 있는데도 건조함이 없이 촉촉해요. 이 부분이 제일 맘에 들었어요 
(세안용품 사용없이 그냥 손으로 몸에 바로 발라 사용 했고 아침 저녁으로 했어요)

향은 상큼하고 레몬과 라임? 상쾌한 과일향이 풍겨요. 샤워할때 향기롭지만 향은 전혀 지속되지 않습니다.

체취는 좀 사라지는 거 같은데 가족이 괜찮다고 하네요 
저는 자주 씻어서 큰 효과는 모르겠어요 
다만 끈적임이 없는건 확실히 느껴졌습니다. 
선풍기만 틀고 2시간 취침후 일어났을때 뽀송 했거든요

이번 여름 잘 샀다 싶은 제품이에요 여름용으로 특별히 바디워시를 구매한 게 처음이라 비교할 제품이 없어 저는 만족스러웠어요 기존 365일 사용하던 바디워시 제품보단 산뜻해서요.",1,https://phinf.pstatic.net/checkout.phinf/20250702_296/1751421030508e7ey2_JPEG/KakaoTalk_20250702_103807457.jpg?type=f300_300,필수선택: (가민에디션)바디워시600ml+샴바사셰2개피부타입건성각질민감성홍조거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm X GARMIN 가민에디션] 체취케어 데오드란트 바디워시  600ml 1개+샴바사셰2개
3,5,25.07.04.,yong*****,"바디워시 구입할때 1+1이라 샴푸도 궁금해서  선택을 했는데 지금까지는 괜찮네요.  운동할때 머리도 냄새가 날거라 생각되어 세정력도 궁금해서 구입을 했는데, 샴푸와 바디워시 둘다 만족스럽네요.  있는지 궁금했는데 지금까지는 매우 만족하고 있습니다.",1,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_04_2146/MuOZVsQQ1n_03.jpg?type=ffn300_300,필수선택: (가민에디션)헤어샴푸 시트러스향 600ml피부타입복합성탄력거품풍부해요촉촉함보통이에요세정력아주 만족해요,46cm X GARMIN 가민에디션] 체취케어 데오드란트 바디워시  600ml 1개+샴바사셰2개
4,5,25.06.23.,loya*********,"🍊 달짝지근+상큼한 시트러스 향, 개운함까지 완벽한 조합!

처음 향을 맡자마자 달콤하면서도 상큼한 시트러스 향이 확 퍼지는데, 인위적이지 않고 정말 자연스럽고 기분 좋은 향이에요. 특히 달짝지근한 느낌이 은근 중독성 있어서 자꾸 맡고 싶더라구요.

사용할 때 거품도 풍성하고 부드럽게 올라와서 바디를 감싸주는 느낌이 정말 좋았고, 씻고 나면 피부가 뽀득뽀득 개운하면서도 건조하지 않아요. 향은 세정 후에도 은은하게 오래 남아서 하루종일 기분 전환이 되는 느낌이에요.

샤워할 때마다 작은 힐링 타임이 생긴 기분! 향에 예민한 분이나 뷰티 덕후라면 무조건 만족하실 거예요. 재구매 각입니다 :)",1,https://phinf.pstatic.net/checkout.phinf/20250623_209/1750675377523V1YgE_JPEG/1001763405.jpg?type=f300_300,필수선택: (가민에디션)바디워시600ml+샴바사셰2개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm X GARMIN 가민에디션] 체취케어 데오드란트 바디워시  600ml 1개+샴바사셰2개
5,5,25.07.18.,yw****,"생각보다 촉촉하고, 그렇다고해서 뽀득하지 않다는 건 아닙니다! 
사무실에서 일하다보면 체취가 좀 올라오는 것 같았는데
이 제품 쓰고 한결 쾌적해졌어요.
그냥 플라시보효과인가 싶기도 하지만
만족하며 잘 쓰고 있어서 좋습니다!!!",0,https://phinf.pstatic.net/checkout.phinf/20250718_258/1752812268648UEeEn_JPEG/IMG_0856.jpeg?type=f300_300,필수선택: (가민에디션)바디워시600ml+샴바사셰2개세정력보통이에요거품풍부해요촉촉함촉촉해요,46cm X GARMIN 가민에디션] 체취케어 데오드란트 바디워시  600ml 1개+샴바사셰2개
6,4,25.07.20.,gimm*****,"여름에 46cm 바디워시를 구매해봤습니다.
46cm는 매번 패키지 디자인이 강렬해서
존재감이 과하죠 ㅎ_ㅎ;
참고로 까슬까슬한 스크럽이 있습니다. 
제형이 뻑뻑해서 물로 잘 헹궈지지 않아 아쉬웠어용",1,https://phinf.pstatic.net/checkout.phinf/20250720_252/17529373682875XeLv_JPEG/IMG_9973.jpeg?type=f300_300,필수선택: (가민에디션)바디워시600ml+샴바사셰2개세정력보통이에요거품적당해요촉촉함보통이에요,46cm X GARMIN 가민에디션] 체취케어 데오드란트 바디워시  600ml 1개+샴바사셰2개
7,5,25.06.18.,huni***,"실제로 러닝 끝내고 이 바디워시로 샤워해봤습니다. 땀범벅 된 상태에서 뚜껑 여는 순간, 어디서 많이 맡아본 향이다 싶었는데 발을씻자랑 같은 향! 근데 몸에서 올라오니까 느낌이 완전 달라요. 상콤하고 톡톡 튀는 시트러스 향이 러닝 후 지친 몸에 찐하게 와닿으면서 바로 리프레시되는 기분.

샤워 중에는 향이 진하게 퍼져서 정말 개운하고 상쾌했어요. 하루의 피로까지 씻겨나가는 느낌이랄까요. 다만 아쉬운 건, 이 향이 몸에 오래 남을 줄 알았는데 생각보다 잔향은 약하더라구요.

그래도 러닝 끝나고 쓰기엔 정말 딱이에요. 땀 식히며 샤워할 때 그 상큼함이 진짜 힐링입니다. 운동 후 바디워시로 강력 추천합니다.",4,https://phinf.pstatic.net/checkout.phinf/20250618_249/1750255934949klmrB_JPEG/IMG_0107.jpeg?type=f300_300,필수선택: (가민에디션)바디워시 시트러스향 600ml거품풍부해요촉촉함보통이에요세정력아주 만족해요,46cm X GARMIN 가민에디션] 체취케어 데오드란트 바디워시  600ml 1개+샴바사셰2개
8,5,25.07.18.,mic_****,여름에 찝찝할때 샤워하고나오면 정말 상쾌한걸 느낄수가 있어요. 향이 좋은거 위주로 지금까지 선택했는데 이건 향 보다도 상쾌함이 좀더 앞서네요.,0,https://phinf.pstatic.net/checkout.phinf/20250718_244/17528399889592Bolt_JPEG/1000014675.jpg?type=f300_300,필수선택: (가민에디션)바디워시600ml+바디워시30ml거품적당해요촉촉함촉촉해요세정력아주 만족해요,46cm X GARMIN 가민에디션] 체취케어 데오드란트 바디워시  600ml 1개+샴바사셰2개
9,5,25.07.08.,hhs9***,"핑크색쓰다가 너무 만족스러워 다른향도 써보고싶어 구매했어요.
정말 신기하게 요즘같은 폭염에도 오후까지 땀냄새없이 잘 지나갑니다.동봉된 사은품에 샴푸와 다른향바디워시가 있어 이 또한 기대됩니다.자취하는 아들에게도 추천하고 친구들한테도 추천해줬어요",0,https://phinf.pstatic.net/checkout.phinf/20250708_225/1751977778817RTg0u_JPEG/1000036885.jpg?type=f300_300,필수선택: (가민에디션)바디워시600ml+샴바사셰2개피부타입복합성홍조거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm X GARMIN 가민에디션] 체취케어 데오드란트 바디워시  600ml 1개+샴바사셰2개
10,1,25.06.21.,yu****,흠... 생각보다 작고 비싸며 나날이 바뀌는 사은품 정책! 그리고 이상하게 꺼끌거려요 그리고 걍 일반 바디워시랑 차이점은 모르겠어요 거품은 많이 나요 향은 5분도 안가는데 무슨 24시간;;... 쟤구매는 생각해봐야 할 듯요 기존에 계속 쓰고 있던 우르오스가 훨 좋은 듯... 우르오스 파이팅! 저품질  바디워시 제조 명가 엘지 파이팅,6,https://phinf.pstatic.net/checkout.phinf/20250621_81/1750511248760eVfws_JPEG/1750511234861.jpg?type=f300_300,필수선택: (가민에디션)바디워시 시트러스향 600ml세정력다소 아쉬워요거품부족해요촉촉함건조해요,46cm X GARMIN 가민에디션] 체취케어 데오드란트 바디워시  600ml 1개+샴바사셰2개
11,5,25.07.04.,ghdl*****,"제품 잘 받았습니다. 다만, 같이 주신 미니 제품이 불량인건지 모르지만 본 제품에는 문제 없이 잘 도착 했습니다. 사용감도 좋고 향도 매우 만족합니다. 여름용으로 딱 좋습니다.",1,https://phinf.pstatic.net/checkout.phinf/20250704_281/1751624305426b43uH_JPEG/1.jpg?type=f300_300,필수선택: (가민에디션)바디워시600ml+샴바사셰2개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm X GARMIN 가민에디션] 체취케어 데오드란트 바디워시  600ml 1개+샴바사셰2개
12,1,25.06.18.,mono****,"예약해서 샀더니 같은 상품을 더저렴하고 적립금까지 하니 2000원이상 차이나는데다 추가로 사은품도 주네요? 예약한 사람은 개호구네요?
상품 더럽게 파네 진짜 좋은거 안좋은걸 떠나서 
이딴식으로 하지맙시다 쓰기.전에 뵜으면 반품할꺼얐는데 짜증나네",20,https://phinf.pstatic.net/checkout.phinf/20250618_289/1750235759113lnvIP_JPEG/1000151752.jpg?type=f300_300,필수선택: (가민에디션)바디워시 시트러스향 600ml피부타입지성트러블세정력보통이에요거품적당해요촉촉함보통이에요,46cm X GARMIN 가민에디션] 체취케어 데오드란트 바디워시  600ml 1개+샴바사셰2개
